pitcher,name,starts,bf,k_per_pa,proj_mean_k,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,fair_4plus,fair_5plus,fair_6plus,fair_7plus,fair_8plus,fair_9plus
593958,"Rodriguez, Eduardo",53,24,0.2038,4.89,0.7508,0.5587,0.3619,0.2025,0.0975,0.0404,1.33,1.79,2.76,4.94,10.26,24.76
806185,"Birdsong, Hayden",27,20,0.2438,4.88,0.7556,0.5599,0.358,0.1952,0.0902,0.0352,1.32,1.79,2.79,5.12,11.08,28.38
663554,"Mize, Casey",56,23,0.2123,4.88,0.7509,0.5577,0.3599,0.2,0.0954,0.039,1.33,1.79,2.78,5.0,10.48,25.65
665622,"Medina, Luis",9,23,0.2123,4.88,0.751,0.5578,0.36,0.2001,0.0954,0.039,1.33,1.79,2.78,5.0,10.48,25.64
701581,"Festa, David",25,20,0.2442,4.88,0.7567,0.5613,0.3593,0.1962,0.0908,0.0355,1.32,1.78,2.78,5.1,11.01,28.15
676917,"Cavalli, Cade",25,22,0.2213,4.87,0.7505,0.5561,0.3571,0.1969,0.0928,0.0373,1.33,1.8,2.8,5.08,10.78,26.79
663362,"Waldron, Matt",33,23,0.2119,4.87,0.7494,0.5558,0.3581,0.1986,0.0945,0.0385,1.33,1.8,2.79,5.04,10.58,25.95
681857,"Olson, Reese",34,22,0.2214,4.87,0.7506,0.5562,0.3573,0.197,0.0929,0.0374,1.33,1.8,2.8,5.08,10.77,26.76
693821,"Elder, Bryce",53,24,0.2015,4.84,0.7422,0.5477,0.3513,0.1944,0.0925,0.0378,1.35,1.83,2.85,5.14,10.81,26.42
669372,"Ginn, J.T.",36,21,0.2304,4.84,0.7473,0.5507,0.3506,0.1909,0.0885,0.0348,1.34,1.82,2.85,5.24,11.3,28.73
656849,"Peterson, David",64,24,0.2017,4.84,0.7428,0.5485,0.3521,0.195,0.0929,0.038,1.35,1.82,2.84,5.13,10.77,26.3
694462,"Waldrep, Hurston",12,22,0.22,4.84,0.7459,0.5502,0.3514,0.1926,0.0902,0.036,1.34,1.82,2.85,5.19,11.09,27.75
645261,"Alcantara, Sandy",46,25,0.1927,4.82,0.7376,0.5429,0.3478,0.1925,0.0918,0.0378,1.36,1.84,2.88,5.2,10.89,26.46
671212,"Boyle, Joe",24,20,0.2403,4.81,0.7441,0.5453,0.344,0.1848,0.084,0.0323,1.34,1.83,2.91,5.41,11.9,31.0
641816,"Mahle, Tyler",29,23,0.2091,4.81,0.7393,0.543,0.3458,0.1893,0.0889,0.0357,1.35,1.84,2.89,5.28,11.25,28.0
621121,"McCullers Jr., Lance",21,21,0.229,4.81,0.7424,0.5446,0.3448,0.1866,0.0859,0.0335,1.35,1.84,2.9,5.36,11.65,29.81
696149,"Chandler, Bubba",21,21,0.2288,4.8,0.7418,0.5437,0.344,0.186,0.0855,0.0334,1.35,1.84,2.91,5.38,11.69,29.96
621244,"Berríos, José",62,24,0.2001,4.8,0.7365,0.5406,0.3446,0.1893,0.0894,0.0363,1.36,1.85,2.9,5.28,11.19,27.56
641482,"Cortes, Nestor",39,22,0.2182,4.8,0.7395,0.5421,0.3438,0.1869,0.0868,0.0343,1.35,1.84,2.91,5.35,11.53,29.11
682052,"Lopez, Jacob",31,21,0.2284,4.8,0.7404,0.542,0.3423,0.1848,0.0848,0.033,1.35,1.84,2.92,5.41,11.79,30.27
663372,"Feltner, Ryan",41,24,0.1997,4.79,0.7348,0.5385,0.3426,0.1878,0.0885,0.0358,1.36,1.86,2.92,5.33,11.3,27.91
808963,"Sasaki, Roki",20,22,0.2173,4.78,0.7359,0.5377,0.3395,0.1837,0.0849,0.0334,1.36,1.86,2.95,5.44,11.78,29.91
700249,"Povich, Cade",41,22,0.2174,4.78,0.7366,0.5385,0.3403,0.1843,0.0852,0.0336,1.36,1.86,2.94,5.43,11.73,29.76
694813,"Stone, Gavin",25,23,0.2074,4.77,0.7326,0.5347,0.3379,0.1835,0.0853,0.034,1.36,1.87,2.96,5.45,11.72,29.43
458681,"Lynn, Lance",23,22,0.2165,4.76,0.7329,0.534,0.3361,0.1812,0.0834,0.0327,1.36,1.87,2.98,5.52,12.0,30.59
608379,"Wacha, Michael",74,24,0.1978,4.75,0.7274,0.5293,0.3339,0.1813,0.0846,0.0339,1.37,1.89,2.99,5.51,11.82,29.5
681035,"Scott, Christian",17,21,0.2263,4.75,0.7332,0.533,0.3339,0.1785,0.0811,0.0313,1.36,1.88,3.0,5.6,12.32,31.96
663436,"Martin, Davis",50,23,0.2065,4.75,0.7294,0.5307,0.3342,0.1807,0.0837,0.0332,1.37,1.88,2.99,5.53,11.95,30.15
663474,"McKenzie, Triston",16,22,0.2161,4.75,0.7318,0.5325,0.3347,0.1802,0.0828,0.0324,1.37,1.88,2.99,5.55,12.08,30.86
605280,"Holmes, Clay",41,23,0.2062,4.74,0.728,0.5289,0.3325,0.1795,0.0829,0.0328,1.37,1.89,3.01,5.57,12.06,30.48
621107,"Eflin, Zach",42,24,0.1966,4.72,0.7225,0.5233,0.3283,0.1772,0.0821,0.0327,1.38,1.91,3.05,5.64,12.18,30.6
676272,"Miller, Bobby",13,22,0.2141,4.71,0.7242,0.5232,0.326,0.1738,0.079,0.0306,1.38,1.91,3.07,5.75,12.65,32.66
547179,"Lorenzen, Michael",62,24,0.1961,4.71,0.7206,0.521,0.3261,0.1756,0.0812,0.0322,1.39,1.92,3.07,5.69,12.32,31.03
592791,"Taillon, Jameson",63,24,0.1957,4.7,0.7187,0.5187,0.324,0.174,0.0803,0.0318,1.39,1.93,3.09,5.75,12.46,31.47
676775,"Winn, Keaton",11,22,0.2138,4.7,0.7231,0.5219,0.3248,0.1729,0.0785,0.0304,1.38,1.92,3.08,5.78,12.74,32.92
670102,"Francis, Bowden",30,22,0.2134,4.7,0.7217,0.5201,0.3232,0.1718,0.0778,0.0301,1.39,1.92,3.09,5.82,12.85,33.28
669330,"Wells, Tyler",7,21,0.2234,4.69,0.7227,0.5201,0.3219,0.1698,0.0761,0.0289,1.38,1.92,3.11,5.89,13.14,34.6
669194,"Nelson, Ryne",67,23,0.2037,4.68,0.7182,0.517,0.3215,0.1714,0.0782,0.0305,1.39,1.93,3.11,5.83,12.79,32.77
664192,"Lucchesi, Joey",2,23,0.2031,4.67,0.716,0.5143,0.3189,0.1696,0.0771,0.03,1.4,1.94,3.14,5.9,12.97,33.33
700363,"Smith-Shawver, AJ",9,21,0.2224,4.67,0.7192,0.5158,0.3179,0.167,0.0745,0.0281,1.39,1.94,3.15,5.99,13.43,35.53
678394,"Bello, Brayan",71,24,0.1945,4.67,0.714,0.5129,0.3187,0.1702,0.078,0.0307,1.4,1.95,3.14,5.88,12.82,32.6
669920,"Alexander, Jason",18,23,0.202,4.65,0.7117,0.5091,0.3142,0.1662,0.0752,0.0291,1.41,1.96,3.18,6.02,13.3,34.4
434378,"Verlander, Justin",47,23,0.202,4.65,0.7117,0.5091,0.3142,0.1662,0.0751,0.0291,1.41,1.96,3.18,6.02,13.31,34.41
605513,"Turnbull, Spencer",10,20,0.2322,4.64,0.7163,0.5109,0.312,0.1617,0.0708,0.0261,1.4,1.96,3.2,6.18,14.13,38.3
